"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
206,"311",TRUE,"2025-12-08 16:35:02","Yes","Data collection","","","3","3","6","5","5","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","Good team work. Positive feelings","2","Obtaining results that answer relevant questions in helping improve patient quality care ","Clinical research","Postdoc","Health sciences","Woman","47","Belgium",""
207,"182",TRUE,"2025-12-08 16:38:20","Yes","Report writing","","","6","5","4","5","6","5","3","0","4","0","1","3","1","0","2","3","0","0","0","2","","3","","Lab/online research","PhD student","Social sciences","Man","27","Portugal",""
208,"28555",TRUE,"2025-12-08 17:01:06","Yes","Waiting for journal's response and revisions","","","4","1","5","3","3","3","0","3","6","3","4","0","1","6","6","4","0","1","0","1","Glad to have submitted that paper but frustrated at the peer review process, particularly of having your hard work rejected.","-2","We are overworked and underpaid chasing papers that may or may not be published despite the blood, sweat, tears and coffee put in. There is nothing to look forward to except for being a cog in the machine. At this point, teaching and conferences keep me going. Perhaps occasionally, the excitement to conceptualise a new project comes about - but then the existential dread returns after submitting a paper. ","Lab/online research","Assistant professor","Social sciences","Woman","36","Malaysia",""
209,"129",TRUE,"2025-12-08 17:17:10","Yes","Data analysis","","","6","6","5","6","6","6","6","5","6","6","5","6","5","6","6","5","6","5","5","6","Our supervisors who made us feel upset that we were exploring the data and angry because everyone else was not struggling. We found it was due to an error on their part.","2","It is a wonderful position and it allows one to investigate what one is interested to investigate.","Lab/online research","Postdoc","Social sciences","Non-binary / third gender / gender non-conforming","35","United Kingdom of Great Britain and Northern Ireland",""
210,"240",TRUE,"2025-12-08 17:44:41","Yes","Waiting for journal's response and revisions","","","6","2","6","4","5","6","1","2","4","1","1","1","1","1","1","1","1","1","1","1","imporoving the work","1","i love research but not have enough resources or guidence most of the time it makes the process a little frustrating","Lab/online research","Assistant professor","Social sciences","Woman","36","Turkey",""
211,"21684",TRUE,"2025-12-08 17:46:58","Yes","Report writing","","","7","6","5","5","6","6","0","0","3","2","0","0","0","0","0","0","0","0","0","0","I am very curious and I feel really happy writing my results after my investigacion","3","Balance between my family, my husband, friends and my work ","Clinical research","Associate professor","Health sciences","Woman","51","Spain",""
212,"751",TRUE,"2025-12-08 17:50:39","Yes","Report writing","","","5","4","4","4","3","3","3","3","0","0","4","2","2","3","5","5","0","0","0","2","Fear: I'm often plagued with the fear that there is literature I haven't discovered yet which would radically transform the interpretation, novelty, or impact of my project.","-1","The ratio between ""null"" and ""positive"" projects. My work has generated more ""unpublishable"" null results.","Lab/online research","PhD student","Social sciences","Man","27","United States of America",""
213,"138",TRUE,"2025-12-08 17:57:34","Yes","Report writing","","","3","3","4","4","4","5","0","0","5","3","0","0","2","0","1","0","0","0","0","0","","2","","Field research","PhD student","Social sciences","Man","27","Ireland",""
214,"316",TRUE,"2025-12-08 18:00:24","Yes","Project genesis/ first thoughts/ idea creation","","","6","5","6","7","6","6","5","6","6","7","0","0","0","2","3","5","4","5","2","3","I feel bad feelings related to adminisitrators, System, editorials and bussiness.
I have positive feelings related to people, patients, and investigation itself ","2","I think we can change the world positibely ","Clinical research","Full professor","Health sciences","Man","51","Spain",""
215,"162",TRUE,"2025-12-08 18:05:38","Yes","Report writing","","","5","3","5","4","3","4","2","2","4","2","3","4","4","4","4","3","0","0","0","0","interest and pride. about original work.","-2","not having enough time to write up my original data","Clinical research","Assistant professor","Social sciences","Woman","34","United States of America",""
216,"287",TRUE,"2025-12-08 18:05:59","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","5","5","5","5","6","4","4","4","4","3","1","1","1","4","1","4","4","3","3","Although there many hurdles, the project is in the core of my research interest, and I truly believe the results could lead to better outcomes, helping breast cancer patients across the globe.","2","I love what I do, and I think I have a positive impact on people's life.","Clinical research","Full professor","Health sciences","Woman","56","United States of America",""
217,"307",TRUE,"2025-12-08 18:15:21","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted and published","","4","0","5","5","3","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0"," Desire to share my findings with other researchers","2","Satisfaction in discovering new aspects of medicine. Potential to have positive impact on life of many people.","Clinical research","Non-academic researcher","Life sciences","Man","75","Canada",""
218,"356",TRUE,"2025-12-08 18:35:00","Yes","Report writing","","","6","3","5","4","5","6","6","5","4","4","1","1","2","1","1","2","1","1","1","1","I’m working on a book, and this is my first time book-writing. It’s also a collaborative project which comes with its own challenges because a lot of emotion goes into figuring out the right balance of whether to revise my collaborator’s work or whether doing so might make her feel bad. The positive emotions come from the contentment that I feel in expressing my ideas through my writing, and I also feel like I learn a lot from my participants, which is a really positive emotional experience. I feel honored to tell their stories","3","it is a joy to be able to live a creative life, and actually get paid too put my ideas in the world, test them, connect with others, and experience recognition for my intellectual effort. I feel like I am contributing to my field and having fun.","Lab/online research","Assistant professor","Social sciences","Woman","29","United States of America",""
219,"291",TRUE,"2025-12-08 18:36:24","Yes","Data analysis","","","6","5","5","5","5","4","2","2","2","4","0","0","1","0","0","2","0","0","0","0","I find the challenge of complex tasks stimulating and interesting. ","3","I enjoy what I do and find it challenges me to learn and extend myself.","Clinical research","Postdoc","Health sciences","Woman","51","New Zealand",""
220,"223",TRUE,"2025-12-08 19:09:49","Yes","Revisions","","","4","2","5","4","5","5","1","1","5","4","1","2","2","1","2","1","1","1","1","1","I felt pride most intensely because I am proud of the work and believe the revisions were well done and highlight the value of the research. ","1","I find value, purpose, and meaning from my work (+3 or above), but I find the life demands of a research to be very difficult and taxing (fairly negative: -2), so it becomes a +1 overall","Field research","Assistant professor","Health sciences","Woman","37","United States of America",""
221,"268",TRUE,"2025-12-08 19:31:24","Yes","Report writing","","","6","4","6","5","3","6","0","4","6","0","0","0","3","0","3","3","0","0","0","1","Interest pride and contentment that we were finally reporting data acquired through multi-year projects.","3","Intellectual freedom","Lab/online research","Full professor","Life sciences","Man","47","United States of America",""
222,"279",TRUE,"2025-12-08 19:40:35","Yes","Waiting for journal's response and revisions","","","1","1","5","4","6","5","0","6","6","5","0","0","0","0","0","0","0","0","0","0","","3","Contributing to the evidence to ensure best practices ","Clinical research","Non-academic researcher","Health sciences","Woman","68","United States of America",""
223,"323",TRUE,"2025-12-08 19:52:29","Yes","Data analysis","","","7","5","5","5","5","5","2","5","5","1","1","1","0","0","0","0","0","0","0","0","Interesting results for scientists and non-experts","1","Deadlines","Lab/online research","Postdoc","Life sciences","Woman","44","Spain",""
224,"305",TRUE,"2025-12-08 19:54:43","Yes","Report writing","","","6","3","6","3","6","5","5","3","4","1","0","0","1","0","1","1","0","0","0","0","I get satisfaction and enjoyment preparing a publication","3","accomplisment","Clinical research","Non-academic researcher","Health sciences","Man","69","New Zealand",""
225,"584",TRUE,"2025-12-08 19:57:54","Yes","Data analysis","","","7","2","3","1","3","5","1","1","5","1","5","1","2","1","3","1","0","0","0","0","How the last data fit the previous data and the whole (already constructed) concept. ","3","Creativity, relative freedom and communication within clever audience.","Lab/online research","Associate professor","Health sciences","Woman","67","Germany",""
226,"194",TRUE,"2025-12-08 20:05:45","Yes","Data collection","","","6","4","7","6","6","6","2","2","5","6","1","1","3","0","4","0","0","0","0","1","","2","the autonomy and gratifying relationships it brings","Clinical research","Associate professor","Health sciences","Woman","41","United States of America",""
227,"226",TRUE,"2025-12-08 20:47:24","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","4","4","5","4","4","4","3","3","4","4","1","1","1","4","1","1","1","1","1","interest because this is something that is laying on my plate for a long time","3","it is nice to invent new things","Clinical research","Full professor","Life sciences","Man","70","Canada",""
228,"294",TRUE,"2025-12-08 20:57:35","Yes","Project genesis/ first thoughts/ idea creation","","","7","4","7","5","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Interesting challenge project","3"," Challenging, interesting and rewarding ","Clinical research","Full professor","Health sciences","Man","56","United Kingdom of Great Britain and Northern Ireland",""
229,"433",TRUE,"2025-12-08 21:20:09","Yes","Project genesis/ first thoughts/ idea creation","","","7","5","5","4","5","5","2","3","1","1","0","0","2","0","2","1","0","0","0","0","Project was a long term endeavour testing a question I had been considering for some time.  Was deeply satisfying to see it come to fruition.","3","Research allows me the freedom to pursue phenomena I think are interesting.  Work can be structured in ways that suit the other aspects of my life.","Lab/online research","Full professor","Social sciences","Man","54","New Zealand",""
230,"302",TRUE,"2025-12-08 21:59:29","Yes","Project genesis/ first thoughts/ idea creation","","","7","2","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Met a colleague who wants to collaborate and has good data. Very interesting. Also relevant to my own future directions. ","2","So interesting, hardly ever bored, also had some success with it","Lab/online research","Full professor","Social sciences","Man","72","United States of America","Also Germany Australia and recently China"
231,"423",TRUE,"2025-12-08 22:25:31","Yes","Revisions","","","6","2","5","2","1","1","1","1","1","1","3","0","1","0","7","0","3","3","1","5","Disappointment - external peer reviewers did not appear to have understood the main points from our manuscript. This was akin to telling a joke that was not understood!","3","Being able to contribute to research that in some causes has profoundly changed the lives of some patients.","Lab/online research","Non-academic researcher","Life sciences","Man","65","United States of America",""
232,"204",TRUE,"2025-12-08 23:00:00","Yes","Data collection","","","6","4","5","4","4","5","1","4","5","4","0","0","0","0","5","0","0","3","0","0","Na","0","Main allocation is teaching, don’t get time to focus on research","Field research","Assistant professor","Health sciences","Woman","72","Australia",""
233,"630",TRUE,"2025-12-08 23:27:49","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","7","0","6","2","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Interest in the project and pride that  I have new ideas and energy  to prepare and submit a new grant","3","I have been very successful in my research: I am internationally recognized scientist","Lab/online research","Full professor","Health sciences","Woman","85","United States of America",""
234,"286",TRUE,"2025-12-09 00:04:48","Yes","Waiting for journal's response and revisions","","","3","3","3","3","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","As this step is so common, I did not feel strong emotion.","3","This job is very exciting.","Lab/online research","Full professor","Life sciences","Man","49","Japan",""
235,"361",TRUE,"2025-12-09 00:06:15","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","4","4","4","4","4","1","4","3","1","4","4","4","3","3","5","1","1","1","1","Interest - because I am highly engaged with the project and invested in making it the best it can be","2","passion","Lab/online research","Postdoc","Social sciences","Woman","28","Netherlands",""
236,"468",TRUE,"2025-12-09 00:17:56","Yes","Data collection","","","7","4","5","4","3","0","5","0","5","0","3","0","0","0","1","2","0","0","0","0","I am very curious to see if the results of the experiments will confirm our hypothesis or lead to some unexpected directions.","3","I love my job and feel very privileged to do something that gives me purpose and motivation.","Lab/online research","Assistant professor","Health sciences","Woman","42","United Kingdom of Great Britain and Northern Ireland",""
237,"370",TRUE,"2025-12-09 00:22:47","Yes","Project genesis/ first thoughts/ idea creation","","","2","2","1","1","1","2","0","0","2","0","5","1","6","1","6","1","0","6","6","6","I did not want to join this project but i had to","1","I love to work on research topics on which i am interested","Lab/online research","Postdoc","Social sciences","Woman","29","Italy",""
238,"495",TRUE,"2025-12-09 01:02:07","Yes","Data collection","","","6","6","6","5","6","4","4","4","3","3","1","1","1","1","1","2","1","1","1","2","Interest for the project","1","Doing interesting things","Clinical research","Associate professor","Life sciences","Man","51","","Taiwan"
239,"292",TRUE,"2025-12-09 01:31:46","Yes","Data collection","","","5","0","3","1","2","3","0","0","5","0","0","2","0","2","1","0","0","0","0","0","Delays in ethical and community approval for data collection","-1","Toxicity in academia, e.g. competition with colleagues for grants and accolades, feeling isolated, pressure to perform and publish","Field research","Associate professor","Health sciences","Woman","47","Australia",""
240,"583",TRUE,"2025-12-09 01:47:26","Yes","Data collection","","","7","6","0","6","7","7","0","4","2","0","0","0","1","0","1","0","0","0","0","3","I believe that data collection, and later on data analysis, is one of the most interesting and pleasuring parts of the research process. I like planning and organizing the instruments for data collection and running several scenarios for data analysis.","2","It is really interesting to see if how our ideas and hypothesis are met within the real world or after conducting the experiments. Also, contributing to the accumulation of human knowledge is very exciting.","Lab/online research","PhD student","Social sciences","Man","31","Brazil",""
241,"1706",TRUE,"2025-12-09 03:26:53","Yes","Report writing","","","6","4","6","4","5","6","1","6","6","4","2","2","4","2","2","2","5","2","2","2","All negative emotions are caused by being busy and not getting enough sleep.","2","The satisfaction of having my research accepted by a journal or winning an award.","Clinical research","Non-academic researcher","Health sciences","Man","54","Japan",""
242,"136",TRUE,"2025-12-09 03:27:34","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","5","4","4","4","4","4","4","5","4","3","3","3","3","3","3","3","3","3","3","","2","","Clinical research","Full professor","Health sciences","Man","35","China",""
243,"142",TRUE,"2025-12-09 03:36:51","Yes","Waiting for journal's response and revisions","","","5","1","3","1","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","2","A sense of accomplishment and legacy","Field research","PhD student","Health sciences","Man","37","China",""
244,"247",TRUE,"2025-12-09 03:59:16","Yes","Project genesis/ first thoughts/ idea creation","","","1","0","2","0","2","2","2","2","2","2","6","0","0","0","6","6","0","0","0","3","","-1","Stress on having new publication without any interruption","Lab/online research","Full professor","Life sciences","Man","45","","Taiwan"
245,"256",TRUE,"2025-12-09 04:14:40","Yes","Revisions","","","6","3","5","5","5","5","4","4","5","0","2","0","0","0","0","4","0","0","0","1","","-3","Imposter syndrome ","Lab/online research","Associate professor","Social sciences","Man","41","United States of America",""
246,"477",TRUE,"2025-12-09 07:31:16","Yes","Report writing","","","7","6","7","6","6","2","0","2","0","0","0","0","0","0","2","2","0","0","0","1","Because the end of data collection and analysis in a research project marks the closest we are to the formal presentation of our results to the research audience, and the start of writing the results is the next step.","3","Everything I have made as a Clinician is closely related with research, and I´m so grateful with that.","Clinical research","PhD student","Health sciences","Man","53","Colombia",""
247,"153",TRUE,"2025-12-09 08:54:16","Yes","Project genesis/ first thoughts/ idea creation","","","5","5","5","3","3","2","1","1","2","1","0","0","0","0","1","1","0","0","0","0","","2","","Field research","Full professor","Physical sciences","Man","52","Italy",""
248,"256",TRUE,"2025-12-09 09:09:28","Yes","Project genesis/ first thoughts/ idea creation","","","3","2","0","0","3","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","2","","Clinical research","Other","Health sciences","Man","74","Italy",""
249,"382",TRUE,"2025-12-09 10:40:58","Yes","Report writing","","","6","1","3","4","4","4","0","0","3","1","1","2","0","3","3","0","0","0","0","4","Writing stage is exciting and elicits my interest.","1","Many competing responsibilities that result from being a university professor - so there is not enough time for research.","Clinical research","Associate professor","Social sciences","Woman","42","Poland",""
250,"419",TRUE,"2025-12-09 10:47:02","Yes","Data analysis","","","6","3","5","5","3","5","0","6","4","3","2","2","2","0","5","4","3","2","3","5","Interst - i believe that my project is truly fascinating and i'm waiting with excitement for conclusions from resoults","2","I like what I do, I develope in my work, I appreciate topic which I can explore and people with who I work","Lab/online research","Associate professor","Social sciences","Woman","39","Poland",""
251,"309",TRUE,"2025-12-09 11:44:36","Yes","Project genesis/ first thoughts/ idea creation","","","6","5","5","5","6","5","3","4","2","3","1","1","1","1","2","1","1","1","1","1","I like my work, when I can think about research with colleagues it brings me away from the endless, useless, boring and incoherent paperwork and bureaucratic load that professors endure.","2","It fits with my skills and preferences, it lets me freedom to live family time (although it is often riddled with work)","Field research","Full professor","Social sciences","Man","51","Italy",""
252,"220",TRUE,"2025-12-09 12:32:00","Yes","Report writing","","","4","0","0","2","2","1","0","0","6","1","0","0","5","6","5","5","2","4","0","0","Shame: having to write something up that could be of much better quality, had the project been planned better and with a bit more foresight","2","Freedom to work on interesting things","Lab/online research","PhD student","Physical sciences","Prefer not to say","40","Netherlands",""
253,"424",TRUE,"2025-12-09 12:44:23","Yes","Project genesis/ first thoughts/ idea creation","","","5","4","4","5","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","My most intense feelings are interest and joy because I'm thinking of a new project that I might be able to run as a side-project, and it's intersting and joyful","-2","I don't have many publications. I got my PhD a couple months ago, and during my PhD (and sometimes these days), my advisor repeatedly telling me that I wouldn't be able to find a job with this few publications and that I need to keep publishing. I know she is right, but still, that makes me feel sad and inferior.","Lab/online research","Postdoc","Social sciences","Woman","28","Australia","Did my PhD in the US graduated in August and moved to Australia for postdoc"
254,"492",TRUE,"2025-12-09 12:47:30","Yes","Data collection","","","4","2","0","3","2","3","0","0","1","0","0","0","0","0","0","0","0","3","0","0","During the data collection of the last project I was involved, I was mostly curious about how the results would look like. In fact, I was trying to draw some conclusions already in my head based on the input I was collecting.","2","I am quite positive about my life as a researcher. I know it is an unstable and insecure life path, but once I get the funding, I feel fortunate to be able to dedicate my time to explore topics I am passionate about.","Field research","PhD student","Social sciences","Woman","29","Belgium",""
255,"305",TRUE,"2025-12-09 13:36:52","Yes","Data analysis","","","7","6","7","7","6","6","5","5","6","3","0","0","0","0","0","1","0","1","0","2","pride, as the project was thought, initiated, and developed by me only (with some feedbacks of course)","3","pride and freedom","Lab/online research","Postdoc","Health sciences","Man","34","Netherlands","i work from home from italy"
256,"179",TRUE,"2025-12-09 13:47:52","Yes","Waiting for journal's response and revisions","","","1","","3","1","1","","0","0","0","4","0","0","0","0","0","5","0","0","0","0","waiting for information","-1","many stress, many obligations, many duties","Field research","Assistant professor","Social sciences","Woman","35","Poland",""
257,"189",TRUE,"2025-12-09 14:08:47","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","5","7","7","7","7","4","7","6","2","4","1","4","1","4","5","1","1","1","1","This was for my masters project, so I felt extremely stressed about all the work im putting into developing my project with the possibility that it doesn't work out","-2","How lonely and isolating it is","Lab/online research","PhD student","Social sciences","Woman","25","United States of America","I am from Canada and have done research there"
258,"594",TRUE,"2025-12-09 15:04:21","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","6","0","5","2","1","1","0","0","2","0","6","7","3","5","6","7","4","1","0","0","Guilt and fear for feeling like I am not far enough along in my dissertation lit review/intro writing. Guilt for procrastinating and fear of both how much work there is to do and consequences for possibly submitting my proposal late.","2","I'm a grad student with a lot of research ideas and two advisors who are supportive of me pursuing them (not only/mainly being on their projects). So I enjoy the freedom and the ability to research what I'm interested in. I also just enjoy learning in general.","Lab/online research","PhD student","Social sciences","Woman","33","United States of America",""
259,"340",TRUE,"2025-12-09 15:05:54","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","0","5","5","4","5","0","0","4","2","1","0","0","0","1","2","0","0","0","0","Doing something that is interesting and is a challenge that can be rewarded","0","Sometimes things go wrong and sometimes things go right","Field research","Research assistant","Social sciences","Man","28","Poland",""
260,"329",TRUE,"2025-12-09 15:13:22","Yes","Revisions","","","5","3","5","5","5","5","2","3","4","2","5","2","2","1","5","3","2","2","2","4","I was very pleased that we got a Revise & Resubmit after a previous rejection. Some of the reviewer comments for revisions made me disappointed and upset because they seemed to miss important parts of our argument and study design and want those changed.","0","I have very little pressure to publish in my career stage and I do enjoy engaging in the research process. In short, I wish I could do more, but other duties and obligations make that difficult.","Lab/online research","Associate professor","Social sciences","Woman","38","United States of America",""
261,"1294",TRUE,"2025-12-09 15:23:38","Yes","Data collection","","","6","6","6","6","5","5","5","5","5","5","0","0","0","0","0","2","2","1","0","2","The project I am doing is very interesting and important for me.","2","I am doing what I like to.","Field research","Associate professor","Health sciences","Man","36","China",""
262,"480",TRUE,"2025-12-09 15:45:28","Yes","Report writing","","","5","4","4","3","3","3","1","3","4","1","1","6","1","2","1","5","0","0","0","0","fear of failing and guilt of beeing too slow","1","the pressure, the administration and overly complicated processes push it down from +2 or +3","Clinical research","Associate professor","Health sciences","Woman","40","Norway",""
263,"205",TRUE,"2025-12-09 15:46:02","Yes","Project genesis/ first thoughts/ idea creation","","","7","4","3","5","5","3","2","3","1","4","3","4","5","6","4","6","2","1","0","3","Interest, because I am very curious about the topic","1","I enjoy research but am not always very confident about navigating funding/publication/etc.","Lab/online research","Assistant professor","Social sciences","Woman","39","United States of America",""
264,"304",TRUE,"2025-12-09 15:58:23","Yes","Report writing","","","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Its just a job","1","Better-paying job than most people one","Lab/online research","Associate professor","Physical sciences","Man","49","Italy",""
265,"957",TRUE,"2025-12-09 16:19:26","Yes","Data analysis","","","6","4","5","4","6","5","0","0","5","0","0","0","0","0","2","4","0","0","0","0","For positive emotions, I experienced interest and pleasure because data analysis always feels like the moment of getting to see whether my initial predictions come to fruition. I also love the feeling of being done with data collection (which is so messy), when I can sit, just me and my data, and begin analyzing. It's my favorite part of the research lifecycle. For negative emotions, I felt fear because I've been away from research for some time, and in a couple of months I will present these findings for the first time. My anxiety is high because I don't know if I remember how to present well, or how my data will be received.","1","Comparing myself unfavorably to others keeps me from being a +2 or +3","Lab/online research","Full professor","Social sciences","Woman","56","United States of America",""
266,"638",TRUE,"2025-12-09 16:22:45","Yes","Data analysis","","","7","4","1","4","4","4","0","0","0","0","0","0","1","0","2","0","0","0","0","2","General interest in research and in the specific topic. ","2","Scientific curiosity, enjoyment of working with colleagues, and independence in my scientific work. ","Field research","Associate professor","Health sciences","Man","68","Austria",""
267,"352",TRUE,"2025-12-09 16:25:38","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","4","6","2","4","4","0","5","2","5","6","6","5","2","4","7","0","0","1","3","Fear - I have been scared of something going wrong. I am doing multiple important tasks at once (thesis and applications) and I am afraid that doing one thing wrong will result in more work and energy which I don't think I have the time for right now. ","2","I love my field of research and the process of generating literature and contributing to ongoing research is fulfilling in itself. ","Lab/online research","Research assistant","Social sciences","Woman","23","United States of America",""
268,"322",TRUE,"2025-12-09 16:41:25","Yes","Data collection","","","5","4","4","5","5","5","0","4","5","1","1","1","0","0","0","2","0","0","0","0","Finally moving forward on the project is a good feeling. However I am needing to balance it with other things leading to some minor guilt, and also fear/worry about recruitment, particularly with the oddities of federal funding in the United States at the moment I have a shortened timeline to conduct the research.","2","Working with colleagues and amazing trainees and seeing their growth along with the research discoveries.","Lab/online research","Assistant professor","Social sciences","Woman","35","United States of America",""
269,"2097",TRUE,"2025-12-09 16:45:03","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","2","4","3","4","3","0","0","5","0","0","3","0","2","4","3","0","2","2","4","Positive emotions were caused by progress on project (IRB submission, approval, protocol completion), negative emotions were caused by impediments to project (broken equipment, internet access issues in my lab, errors made by my lab manager)","2","I mainly feel positive because I love what I do, I find it fun, and I think I might be making some contributions to knowledge that can help make peoples' lives better, but even if not, I'm able to train future scientists and give them skill that will bolster their professional advancement abilities. The only reason my rating is not a 3 is because sometimes the process can be slow, I don't great support at my institution for carrying out research, and I can sometimes doubt translation to practice.","Lab/online research","Full professor","Social sciences","Woman","47","United States of America",""
270,"202",TRUE,"2025-12-09 16:51:37","Yes","Revisions","","","2","1","1","1","1","1","0","1","1","1","5","6","6","0","6","6","0","0","0","0","I wish the project had turned out better and had been better received. I also wish I hadn't procrastinated as much and therefore needed to do much updating of the work. I am pretty sick of this project at this point. ","-2","I really enjoy research, however when I think about the 'publish or perish' stuff or the competitiveness, it makes me feel really down. I am terrible at getting things across the finish line and published and I feel poorly about that. Love generating ideas, conducting research, etc., but I am a serial abandoner","Lab/online research","Postdoc","Social sciences","Woman","31","United States of America",""
271,"254",TRUE,"2025-12-09 17:27:52","Yes","Report writing","","","4","2","5","2","1","5","1","1","4","1","5","1","1","1","3","4","1","1","4","6","I get stressed out and angry when I work on late stage papers.","2","Pride and interest in research","Lab/online research","Assistant professor","Social sciences","Woman","31","United States of America",""
272,"2322",TRUE,"2025-12-09 17:41:39","Yes","Report writing","","","6","3","5","2","4","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","The most intense feeling was interest, and its primary cause was the satisfaction of writing the results and discovering the answers to our main research questions.","2","My relationships with my supervisor and my lab colleagues (fellow Phd students) and my supervisees..","Lab/online research","PhD student","Social sciences","Woman","27","Canada",""
273,"676",TRUE,"2025-12-09 18:20:21","Yes","Revisions","","","4","2","3","3","1","3","0","0","3","1","0","0","0","0","1","0","0","0","0","1","Moderate contentment that our work is close to reach the scientific community. Slight disappointment that the community in my field that will appreciate the work could be larger.","3","I am near or at the top of my discipline worldwide.","Lab/online research","Full professor","Life sciences","Man","75","United States of America",""
274,"242",TRUE,"2025-12-09 21:41:27","Yes","Project genesis/ first thoughts/ idea creation","","","7","2","5","6","6","3","2","2","0","0","3","6","6","2","5","6","0","0","0","0","I love coming up with new ideas, but the extreme competition in the field makes everything have a flip side, in which one wonders if one could have done things better, and what the outcome of the grant will be.  This is the worst part about science,","1","Current funding situation and the administrative load I experience.","Lab/online research","Associate professor","Life sciences","Woman","59","United States of America",""
275,"358",TRUE,"2025-12-09 23:38:52","Yes","Data analysis","","","7","7","5","7","7","7","3","5","3","5","0","1","0","0","0","1","0","0","0","0","Interest. I particularly enjoy this part of the work, and I learn a lot from it, so that is why I experienced high interest. I'm also collaborating with researchers that I have not worked with before, which contributes to my high interest, as it is exciting and novel.","2","The job provides flexibility, constant learning, and diverse tasks. I also have very good support from my colleagues.","Clinical research","PhD student","Health sciences","Woman","28","Denmark",""
276,"161",TRUE,"2025-12-09 23:40:18","Yes","Reality check (e.g., literature search, consultation with colleagues)","","","5","4","5","5","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","","2","","Clinical research","Full professor","Social sciences","Man","53","United States of America",""
277,"439",TRUE,"2025-12-10 00:40:43","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","0","5","5","6","5","0","3","5","0","1","1","1","1","1","2","0","0","0","0","I reported interest as my most intense feeling while working on the early stages of launching a project (e.g., IRB). The main cause of this is the excitement of starting a new project. There is slight anxiety, in hoping that I plan the study properly. But overall, I am interested in how it will turn out.","1","It is only not ""extremely positive"" because research is a lot of work! And sometimes it can be disappointing when data is confusing.","Lab/online research","Postdoc","Social sciences","Woman","29","United States of America",""
278,"685",TRUE,"2025-12-10 04:42:28","Yes","Revisions","","","6","5","5","5","6","7","1","2","5","1","0","0","0","0","0","1","0","0","0","0","We got very thorough and clever reviews for our submitted manuscript that really showed appreciation for our work and genuinely helped improve it. This is not always the case, so I had a lot of positive feelings while working on the revisions. I also had time to do them, which is also rare, as usually there are many other competing priorities.","1","freedom about my projects and schedule","Clinical research","Postdoc","Health sciences","Woman","37","United States of America",""
279,"141",TRUE,"2025-12-10 07:44:51","Yes","Project genesis/ first thoughts/ idea creation","","","7","4","5","5","5","7","6","5","4","4","3","1","2","2","2","2","2","2","2","2","the process of the work","2","I love research may be because of that ","Lab/online research","Associate professor","Social sciences","Woman","43","India",""
280,"266",TRUE,"2025-12-10 09:44:13","Yes","Revisions","","","7","6","7","6","6","6","6","5","4","3","0","0","0","0","1","0","0","0","0","0","interest","3","My supervisor(s)","Clinical research","Research assistant","Health sciences","Woman","33","Austria",""
281,"373",TRUE,"2025-12-10 15:26:17","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","0","3","2","4","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","Because it's a project for which I'm first author, the subject matter we're researching is particularly interesting to me. ","1","Some aspects of research are difficult spurring questions about my future endeavors. ","Lab/online research","PhD student","Social sciences","Woman","34","United States of America",""
