StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,research_stage,Q22,Q22_6_TEXT,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage,feeling_general_1,cause_general,category_of_work,position,area,gender,age,country,country_other
2025-11-30 06:58:52,2025-11-30 07:03:18,IP Address,100,265,True,2025-11-30 07:03:18,R_4QuxYep2Xqjup5A,anonymous,EN,Yes,Project genesis/ first thoughts/ idea creation,,,2,1,1,2,2,2,0,1,0,0,0,1,0,1,2,1,0,0,0,0,"[Disappointment] - Having expectations that my collaborators would be equally excited and actively contribute to the discussion because they were the ones who reached out first, wanting to establish the research collaborations. However, they were passive during the first meeting. ",1,"I am proud of my work so far, but yet I feel like I have not done enough research as an early career researcher when compared to other ECRs.",Lab/online research,Assistant professor,Social sciences,Man,34,Malaysia,
2025-11-30 09:10:16,2025-11-30 09:14:14,IP Address,100,237,True,2025-11-30 09:14:14,R_60MH20Z4bDYDTFX,anonymous,EN,Yes,Data analysis,,,4,4,4,2,4,4,1,1,4,1,1,1,1,1,5,1,1,2,2,3,Disappointment because the data did not show the expected effects.,2,I'm a very curious person and I enjoy the scientific process.,Lab/online research,Research assistant,Social sciences,Woman,23,United States of America,
2025-12-01 01:20:03,2025-12-01 01:23:08,IP Address,100,185,True,2025-12-01 01:23:09,R_9C4GFr4hWjJK8Tv,anonymous,EN,Yes,Report writing,,,5,3,2,3,4,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,"I enjoy my research. I love my work. ",2,Love for my discipline: language studies,Field research,Full professor,Social sciences,Man,42,Malaysia,
2025-12-01 09:29:38,2025-12-01 09:32:22,IP Address,100,164,True,2025-12-01 09:32:23,R_8IzO7NCaDsWjBzv,anonymous,EN,Yes,Revisions,,,5,0,0,0,2,2,0,0,3,2,0,3,0,0,2,3,0,0,0,5,"Reviewer comments indicating they didn't understand what we wrote in the paper. ",2,"I like designing experiments, programming, analyzing data. This is fun! ",Lab/online research,Assistant professor,Social sciences,Woman,35,Austria,
2025-12-01 10:41:33,2025-12-01 10:44:25,IP Address,100,171,True,2025-12-01 10:44:25,R_8Du7ip8ADSkR6eM,anonymous,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,5,1,5,4,4,5,1,2,1,2,0,2,1,2,1,1,0,0,0,1,,1,,Lab/online research,Research assistant,Social sciences,Woman,24,Austria,
2025-12-01 14:18:12,2025-12-01 14:23:02,IP Address,100,290,True,2025-12-01 14:23:03,R_8rkrZgggapI52W6,anonymous,EN,Yes,Data analysis,,,4,0,3,2,2,3,2,2,3,0,3,0,3,3,4,4,0,1,0,0,"Fear/disappointment - this is the first project I'm leading in a while and I worry that I'm not doing a good job with it. Imposter syndrome, I think.",-1,"I work at a teaching centred university so have little time for research. When I do get time to lead research, I feel rusty and under-experienced compared to others at a similar age and career stage, like I'm still just an amateur.",Lab/online research,Associate professor,Social sciences,Woman,44,United Kingdom of Great Britain and Northern Ireland,
2025-12-01 16:08:43,2025-12-01 16:12:44,IP Address,100,241,True,2025-12-01 16:12:45,R_1imYpn8FZjYvlr4,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,2,2,4,2,2,2,0,2,3,2,2,5,3,2,4,3,0,0,0,0,Stress and guilt because everything took longer than expected and I had hoped to launch the study (fMRI) sooner. But also positive feelings about starting something new and exciting.,1,"At a high level, I love my job and remain passionate about research and academia. There are also a lot of day to day stressors (deadlines, rejections, job market, etc.)",Lab/online research,Postdoc,Social sciences,Woman,28,United States of America,
2025-12-01 19:26:45,2025-12-01 19:36:16,IP Address,100,571,True,2025-12-01 19:36:18,R_1BxSb2LV61PqhJk,anonymous,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,7,4,7,3,5,1,0,3,1,6,7,1,4,1,7,6,5,5,5,5,Dismissal of those in power of the importance of this issue to scientific training.,-2,"lack of support, financial instability",Field research,Other,Social sciences,Woman,57,Germany,
2025-12-01 19:40:22,2025-12-01 19:49:43,IP Address,100,561,True,2025-12-01 19:49:44,R_3j8IzzAqpH18w1z,anonymous,EN,Yes,Data collection,,,4,3,5,1,3,5,0,3,2,3,0,0,0,0,3,0,0,0,0,0,My feelings of pride are a result of the progress I have been seeing one of my grad students make on her thesis. She has put in a great deal of time and effort towards the data collection on her project (a project that requires a lot of time/effort) and I have been feeling good about the progress she has made.,1,"I think conducting research is a combination of excitement, curiosity, and frustration. Excitement because it's exciting to have new ideas and questions to answer; curiosity because it motivates everything researchers do (hopefully); and frustration because science is hard and things rarely work out they way we anticipate them to.",Lab/online research,Full professor,Social sciences,Man,48,United States of America,
2025-12-01 22:44:04,2025-12-01 22:51:33,IP Address,100,448,True,2025-12-01 22:51:33,R_7rvThTqoACPAiom,anonymous,EN,Yes,Data collection,,,7,6,7,7,7,7,7,7,5,5,5,1,1,1,6,6,1,1,1,6,"Interest, pride, joy, pleasure, contentment, love, and admiration were all high due to the excitement of seeing my research come to life through data collection. Disappointment, fear, and anger were all 6 due to participant no shows and issues with data causing stress and anxiety over the data collection process. ",3,"The love i’ve gained for the process of conducting research and what results can bring to the field of psychology. ",Lab/online research,Research assistant,Social sciences,Woman,24,United States of America,
2025-12-01 23:07:22,2025-12-01 23:11:41,IP Address,100,258,True,2025-12-01 23:11:41,R_3TpVLPb10pcKKYq,anonymous,EN,Yes,Data collection,,,6,5,5,5,5,5,3,3,4,1,1,1,1,1,1,1,1,1,1,1,I am generally excited about my research projects when collecting data and analyzing data.  I tend to lose interest a little when writing up the paper... which is a problem! :),2,I like research when I am interested in the topic or research question.  I don't like a publish-or-perish atmosphere.,Lab/online research,Associate professor,Social sciences,Man,51,United States of America,
2025-12-02 05:33:55,2025-12-02 05:36:40,IP Address,100,165,True,2025-12-02 05:36:41,R_3dSpN7Wq2pZR4SR,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,3,2,4,5,1,1,1,1,1,1,0,6,0,6,7,4,0,4,0,2,Difficulties with faculty advisor and IRB committee,0,,Clinical research,PhD student,Social sciences,Woman,26,United States of America,
2025-12-02 17:42:07,2025-12-02 17:45:19,IP Address,100,192,True,2025-12-02 17:45:20,R_5JecvnBhdsa0ktD,anonymous,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Regret for promising so much in our grant that we now have to figure out how to do.,-1,"The lows are somewhat balanced out by occasional highs, but the highs are short-lived.",Lab/online research,Assistant professor,Social sciences,Woman,43,United States of America,
2025-12-03 06:19:52,2025-12-03 06:22:43,IP Address,100,170,True,2025-12-03 06:22:43,R_9AFNnpdY9tBlKLL,anonymous,EN,Yes,Data collection,,,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,,3,"I learnt a lot. ",Lab/online research,Assistant professor,Physical sciences,Man,33,Malaysia,
2025-12-03 08:51:11,2025-12-03 08:53:32,IP Address,100,141,True,2025-12-03 08:53:33,R_8oIpnHbO9o3lm0b,anonymous,EN,Yes,Data analysis,,,6,4,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Curiousity about the output,3,The freedom offered in my project to do things I'm interested in,Lab/online research,PhD student,Social sciences,Prefer not to say,27,Netherlands,
2025-12-03 09:50:09,2025-12-03 09:52:37,IP Address,100,148,True,2025-12-03 09:52:38,R_2LAmVjWKkeLiniV,email,EN,Yes,Waiting for journal's response and revisions,,,7,,,,,,,,,,4,5,5,,3,,,,,,,2,bad salary,Lab/online research,Other,Life sciences,Man,40,Serbia,
2025-12-03 09:53:21,2025-12-03 09:56:43,IP Address,100,201,True,2025-12-03 09:56:43,R_8WHGpfHW3Ihdl1n,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,5,0,4,1,0,0,0,0,1,0,5,7,6,4,5,3,3,3,1,5,"The IRB and associated admin is a true nightmare ",3,Pride at creating lasting change/improvement. Autonomy.,Clinical research,Full professor,Health sciences,Man,56,United Kingdom of Great Britain and Northern Ireland,
2025-12-03 09:51:42,2025-12-03 09:57:34,IP Address,100,351,True,2025-12-03 09:57:34,R_8gwGY4ltcxpELc9,email,EN,Yes,Report writing,,,6,0,6,4,4,6,0,0,6,5,0,1,0,0,5,0,2,5,2,2,Relief: completing a successful paper and getting a major grant,2,The ability to decide what I work on and the work with great collaborative colleagues.,Lab/online research,Full professor,Life sciences,Man,54,Germany,
2025-12-03 09:56:21,2025-12-03 10:00:06,IP Address,100,225,True,2025-12-03 10:00:07,R_2FE5VRfiOD6WNcC,email,EN,Yes,Report writing,,,5,5,4,2,6,5,2,4,3,0,0,0,0,0,3,0,0,0,0,0,research is just a game...applicability is by far more complex,2,curiosity is a very good engine!!,Clinical research,Full professor,Health sciences,Man,63,France,
2025-12-03 09:58:28,2025-12-03 10:01:27,IP Address,100,179,True,2025-12-03 10:01:27,R_3cBepAPOD7DyLL7,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,6,6,5,6,5,5,0,0,4,0,0,0,2,0,2,0,1,0,0,2,excitement about the project,2,"excitement ",Clinical research,Full professor,Health sciences,Man,61,United States of America,
2025-12-03 09:59:33,2025-12-03 10:02:30,IP Address,100,176,True,2025-12-03 10:02:31,R_21ZTXGWD3jWpo1f,email,EN,Yes,Report writing,,,7,4,4,5,5,3,2,3,3,3,2,3,3,1,2,1,1,1,1,3,NA,2,Important and interesting work,Clinical research,Assistant professor,Health sciences,Man,49,Finland,
2025-12-03 09:59:53,2025-12-03 10:05:35,IP Address,100,342,True,2025-12-03 10:05:36,R_9lYYtspZDSziCMd,email,EN,Yes,Report writing,,,5,5,6,5,6,5,7,4,2,4,0,5,4,0,0,5,0,0,0,0,I just know to myself and clear to me that I love doing research. It is mot always rainbow.. there are gloomy days but those day do not affect me for a long time. I accepted even what is hurtful in research (out-of-pocket expenses hahaha).o think that is how we love. We acept both good and bad qualities of the oen we love right? We do not tolerate the bad onwa but we accept the person and try to make compro.ise since it takes two to tango.,3,This is what I love to do.,Field research,Assistant professor,Health sciences,Man,35,Philippines,Philippines
2025-12-03 10:01:34,2025-12-03 10:05:54,IP Address,100,259,True,2025-12-03 10:05:54,R_3OiPbqt3N5ai5if,email,EN,Yes,Report writing,,,5,4,5,5,3,4,2,2,4,3,2,0,0,0,2,0,0,0,0,1,,2,,Lab/online research,Full professor,Life sciences,Man,39,China,
2025-12-03 10:06:02,2025-12-03 10:15:52,IP Address,100,589,True,2025-12-03 10:15:53,R_42EcCCBUqvPFs8X,email,EN,Yes,Data collection,,,7,7,7,7,7,7,7,7,3,3,1,0,0,0,1,0,0,0,0,0,"After analyzing the data, I was thrilled to see a remarkable and unexpected pattern emerge. This is a truly exciting discovery that could significantly change our understanding of the process.",3,"It is a truly rewarding experience to pursue a question that fascinates you, delve into its underlying mechanisms, and ultimately translate your discoveries into practical applications",Lab/online research,Associate professor,Social sciences,Man,35,China,
2025-12-03 10:12:47,2025-12-03 10:17:35,IP Address,100,288,True,2025-12-03 10:17:36,R_2mLzPIvdWZojz0d,email,EN,Yes,Report writing,,,7,3,7,5,5,5,0,0,0,0,3,0,0,0,4,0,2,4,0,5,incomprehension of science to be reported by colleagues - basically stupidity.,3,i love physics,Lab/online research,Full professor,Physical sciences,Man,65,United Kingdom of Great Britain and Northern Ireland,Ireland
2025-12-03 10:18:28,2025-12-03 10:21:13,IP Address,100,165,True,2025-12-03 10:21:14,R_4knaZ2fKxVIVJ3g,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,7,4,5,4,5,1,1,1,1,4,4,4,2,4,7,6,4,5,2,7,Delays in governance,2,"Stimulating work, great people ",Clinical research,Associate professor,Health sciences,Woman,54,Australia,
2025-12-03 10:27:18,2025-12-03 10:32:57,IP Address,100,338,True,2025-12-03 10:32:57,R_2sM5lB5XmvSDrsl,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,6,5,6,5,5,4,4,3,4,4,3,5,5,6,4,6,0,0,0,3,"Anxiety and pride go hand in hand in working with others. Anxiety about failing others, pride when events prove these thoughts/feelings being wrong",1,"Contributing to society, and working with others is positive. ",Lab/online research,Assistant professor,Health sciences,Man,40,Netherlands,Germany
2025-12-03 10:40:23,2025-12-03 10:45:42,IP Address,100,318,True,2025-12-03 10:45:42,R_2Xgs4xzN1yEeNnR,email,EN,Yes,Waiting for journal's response and revisions,,,5,0,3,2,2,5,0,0,1,1,4,0,0,0,6,0,0,0,0,5,"Multible rejections of my publication from the journals, problems with a superior regarding publication. ",-1,"Problems with a not scientific experienced superior. ",Field research,PhD student,Health sciences,Woman,43,Germany,
2025-12-03 10:48:11,2025-12-03 10:55:57,IP Address,100,465,True,2025-12-03 10:55:57,R_4nOymvaoFNKFUDp,email,EN,Yes,Waiting for journal's response and revisions,,,7,6,6,7,7,7,6,7,7,6,0,0,0,0,0,0,0,0,0,0,Waiting with interest and anticipation for published results,3,Anticipation of positive results,Lab/online research,Full professor,Physical sciences,Man,68,India,
2025-12-03 11:01:42,2025-12-03 11:05:05,IP Address,100,202,True,2025-12-03 11:05:05,R_279gnWQEj9b7mZD,email,EN,Yes,Data analysis,,,7,6,6,6,6,6,3,3,3,6,0,2,0,0,0,0,0,0,0,0,We have gotten very good and interesting data from the studies (which is honestly not something we always see).,1,"I like the work, but short term employment and funding pressures brings down the enjoyment of the work. ",Lab/online research,Postdoc,Life sciences,Woman,39,Denmark,
2025-12-03 11:03:42,2025-12-03 11:09:19,IP Address,100,337,True,2025-12-03 11:09:20,R_9CDvAAoIz61PG9M,email,EN,Yes,Data collection,,,6,6,6,7,5,5,5,5,4,4,1,0,0,0,0,3,0,0,0,1,,2,Excitement and passion towards my research journey,Clinical research,PhD student,Health sciences,Man,33,India,
2025-12-03 11:25:56,2025-12-03 11:30:10,IP Address,100,253,True,2025-12-03 11:30:10,R_2EcNtaoMowM9bss,email,EN,Yes,Report writing,,,6,5,4,2,2,1,1,1,6,1,5,3,3,4,4,5,3,3,6,6,"My direct supervisor and my chief have been in contrast for the entire duration of the project, my supervisor ghosted me for almost the e entire project but in the end they both were recognized in noble paper position and obtained what they wanted. I also received a first position but the environment made me suffer for long time. I just wanted not to see that paper anymore",0,,Clinical research,Assistant professor,Health sciences,Woman,32,Italy,
2025-12-03 11:46:44,2025-12-03 11:55:17,IP Address,100,513,True,2025-12-03 11:55:17,R_1PFAaiI6o1BJdEs,\email,EN,Yes,Revisions,,,7,1,4,1,3,1,1,1,3,1,1,1,3,1,2,1,1,2,1,2,"Interest: This project is a book. I am very interested in the topic and very concerned about ""getting it right"", as well as satisfying the reviewer, whose comments were helpful but incomplete - that is, not even mentioning the parts I was most worried about. The reviewer's attitude also put me off. S/he was setting conditions for final publication. This is what an editor should do, not a reviewer. Hence the small amount of anger.",2,"I've discovered a lot of things, and achieved many insights, over the last 60 years and have been recognized for some of them.",Lab/online research,Full professor,Social sciences,Man,81,United States of America,
2025-12-03 11:50:12,2025-12-03 11:58:50,IP Address,100,517,True,2025-12-03 11:58:51,R_5A042rH3dXmoKMV,email,EN,Yes,Report writing,,,6,5,5,6,6,6,6,6,3,3,0,0,0,0,0,0,0,0,0,0,aim reach,3,good life,Clinical research,Full professor,Health sciences,Man,72,Colombia,
2025-12-03 12:08:23,2025-12-03 12:14:25,IP Address,100,361,True,2025-12-03 12:14:25,R_8dQA295BBZHFOMy,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,7,3,7,7,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,1,scientific curiosity that leads to hypotheses that might work out and create positive outcomes for people,3,my work in research is what I love to do,Lab/online research,Full professor,Life sciences,Woman,50,United Kingdom of Great Britain and Northern Ireland,
2025-12-03 12:54:28,2025-12-03 12:58:06,IP Address,100,218,True,2025-12-03 12:58:07,R_2n7RX2eX2hlzNpg,email,EN,Yes,Data collection,,,3,3,5,3,4,5,3,4,2,2,2,2,3,2,4,2,2,3,2,2,To perform such a project makes you proud,1,life work balance is hard,Clinical research,Assistant professor,Health sciences,Man,34,Switzerland,
2025-12-03 13:59:25,2025-12-03 14:06:47,IP Address,100,442,True,2025-12-03 14:06:47,R_1m82D1j71SLpiAZ,email,EN,Yes,Report writing,,,5,0,5,2,2,1,0,3,2,2,3,7,6,1,3,4,0,0,0,0,Time pressure and competing priorities,-2,"I no longer have paid employment in a university ",Field research,Associate professor,Health sciences,Woman,53,Australia,
2025-12-03 14:11:15,2025-12-03 14:15:08,IP Address,100,232,True,2025-12-03 14:15:08,R_2IgZr3iLGCIEGtE,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,4,3,2,0,0,0,0,0,0,0,1,1,1,0,4,1,1,2,0,2,,0,,Clinical research,Full professor,Life sciences,Man,43,Italy,
2025-12-03 14:56:23,2025-12-03 15:00:32,IP Address,100,248,True,2025-12-03 15:00:33,R_3VnClG2V5BNB8e5,email,EN,Yes,Data collection,,,7,4,6,5,5,5,5,5,2,6,4,0,0,0,3,0,0,0,0,0,cool project.  MTA process is slowwwwwwwwwwwwwwwwwww.,2,I think our research will affect care of patients.,Lab/online research,Full professor,Health sciences,Man,66,United States of America,
2025-12-03 15:16:26,2025-12-03 15:24:26,IP Address,100,479,True,2025-12-03 15:24:26,R_2ZCGBkMeY2ndhpp,email,EN,Yes,Revisions,,,0,1,1,1,1,1,1,1,1,1,1,0,4,0,4,0,0,3,2,4,I think what I felt the most was annoyance -- having to go over the same things over and over again,0,I'm priviledged to even be able to be here. But it's a very precarious world.,Lab/online research,Postdoc,Social sciences,Woman,32,Spain,
2025-12-03 15:37:03,2025-12-03 15:41:53,IP Address,100,289,True,2025-12-03 15:41:54,R_27C3SdUn8YFcyLW,email,EN,Yes,Revisions,,,7,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,Field research,Full professor,Social sciences,Man,60,Germany,
2025-12-03 15:49:31,2025-12-03 15:54:46,IP Address,100,315,True,2025-12-03 15:54:47,R_29trlvqOo5J3oI3,email,EN,Yes,Data analysis,,,7,7,4,7,7,6,4,4,1,7,5,6,2,7,1,1,1,0,1,7,Negative feelings due to external and scheduling pressure. Positive feelings because the data and the creation of it was interesting and valuable. Some sad feelings also for compassion with the phenomena studied,1,"Ambivalence. Unstable career prospect, precarity vs. fulfilling passion with my work",Field research,Postdoc,Social sciences,Woman,47,Finland,
2025-12-03 15:50:28,2025-12-03 15:56:05,IP Address,100,337,True,2025-12-03 15:56:06,R_8qyJFbXUExDM9LX,email,EN,Yes,Report writing,,,3,3,5,3,4,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,Pride of giving my own little piece of contribution to science,1,Hurdles are many since there is a lack of institutional support,Lab/online research,Associate professor,Health sciences,Man,54,Italy,
2025-12-03 16:07:54,2025-12-03 16:10:59,IP Address,100,185,True,2025-12-03 16:11:00,R_6scUgEvFeunqHd6,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,6,6,6,6,6,6,4,3,3,5,3,2,2,2,2,3,2,3,2,2,,2,,Clinical research,Assistant professor,Health sciences,Woman,,United States of America,
2025-12-03 17:43:43,2025-12-03 17:51:34,IP Address,100,470,True,2025-12-03 17:51:34,R_5NQep8Zbg3v3B4d,email,EN,Yes,Report writing,,,2,0,2,1,2,2,1,2,2,2,5,5,5,5,6,2,1,6,2,1,"I always feel I could have done better. ",1,A lot of efforts and limited achievements,Lab/online research,Associate professor,Health sciences,Woman,38,United States of America,
2025-12-03 19:01:00,2025-12-03 19:05:30,IP Address,100,270,True,2025-12-03 19:05:31,R_3QASbm21MWYWLHX,email,EN,Yes,Data analysis,,,7,7,7,4,5,4,3,5,3,1,0,0,2,0,0,2,1,0,0,0,,1,uncertainty and instability in job,Lab/online research,Postdoc,Life sciences,Man,31,United States of America,
2025-12-03 23:54:15,2025-12-03 23:59:25,IP Address,100,309,True,2025-12-03 23:59:25,R_8WZp4kmIhNQaJ2B,email,EN,Yes,Revisions,,,6,5,5,2,2,2,0,1,3,3,6,3,5,5,5,5,4,2,2,5,"Sadness. Not emotionally capable to keep doing the best work I have always been doing. ",-2,"Lack of recognition. The amount of work build into is probably not worth it ",Clinical research,Full professor,Health sciences,Man,40,Spain,
2025-12-04 17:50:44,2025-12-04 17:58:49,IP Address,100,484,True,2025-12-04 17:58:49,R_2KkwuAR0LtPjB80,anonymous,EN,Yes,Data collection,,,7,5,5,5,5,6,3,3,3,3,2,0,0,0,4,0,0,0,0,0,I was quite interested in my project and liked the lab work so I was content even though it was also challenging,1,"I think I might not be creative enough and I find writing quite hard. I am currently at the writing stage. ",Clinical research,PhD student,Health sciences,Woman,28,Germany,
2025-12-04 18:11:05,2025-12-04 18:17:24,IP Address,100,378,True,2025-12-04 18:17:24,R_1DRXsOjrcyhIYWT,email,EN,Yes,Report writing,,,7,6,6,2,6,6,3,3,2,2,0,0,0,2,2,2,0,1,0,1,"connection between the work and how it will be received and my own self worth / identity ",2,"believing that what I do matters and helps people ",Clinical research,Assistant professor,Health sciences,Woman,41,United States of America,
2025-12-04 20:34:14,2025-12-04 20:37:32,IP Address,100,198,True,2025-12-04 20:37:33,R_7DFABjRv32JUeKB,email,EN,Yes,Revisions,,,3,2,4,4,4,3,0,3,7,2,0,6,6,5,2,4,0,0,0,0,It felt great to get the task completed.,2,"Right now, that feeling is because I realize that this job gives me the freedom and time and latitude to fail and make mistakes and learn.",Lab/online research,Assistant professor,Social sciences,Man,47,Canada,
2025-12-05 00:24:09,2025-12-05 00:28:23,IP Address,100,254,True,2025-12-05 00:28:24,R_7IG9pv8bUXlCa3G,email,EN,Yes,Data analysis,,,5,4,4,4,5,3,3,4,2,6,5,5,4,1,2,1,1,1,1,1,Re-reading transcripts about participants' struggles brings out a lot of compassion for their circumstances.,0,"I'm neutral because I love collecting data, feel frustrated about needing to chase funding, and regret not having enough time to write.",Field research,Full professor,Social sciences,Woman,49,United States of America,
2025-12-05 04:48:30,2025-12-05 04:55:56,IP Address,100,446,True,2025-12-05 04:55:57,R_4QzH12sTwT2nIgE,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,6,3,4,5,3,4,0,3,3,0,0,0,2,0,1,6,0,0,0,1,"Interest - topic of the research
Fear - fear of missing something vital for the design, fear of irrelevance",2,"Love most activities: statistics, experiments, contemplation, writing...",Lab/online research,Postdoc,Social sciences,Woman,33,Australia,
2025-12-05 15:50:33,2025-12-05 15:59:17,IP Address,100,524,True,2025-12-05 15:59:18,R_7AKgFRHZAAIwErw,email,EN,Yes,Report writing,,,7,5,7,6,5,7,6,7,3,4,0,0,0,0,0,0,0,0,0,0,The interest I take in the research,3,The interest I take in the research topics I take on and the success I've had pursuing them.,Lab/online research,Full professor,Life sciences,Man,64,United States of America,
2025-12-05 23:08:38,2025-12-05 23:12:11,IP Address,100,213,True,2025-12-05 23:12:11,R_2TRhakoPTbWl2Tq,email,EN,Yes,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",Rejected and abandoned,,,,,,,,,,,,,,,,,,,,,,,1,,Lab/online research,Postdoc,Life sciences,Man,36,France,
2025-12-07 08:24:08,2025-12-07 08:29:20,IP Address,100,311,True,2025-12-07 08:29:20,R_8XcHB7xtnLTTN84,anonymous,EN,Yes,Waiting for journal's response and revisions,,,7,0,7,7,7,7,5,7,5,0,0,0,0,0,0,2,0,0,0,0,"Acceptance, pride ",2,People + success,Lab/online research,Associate professor,Social sciences,Man,34,Poland,
2025-12-07 08:24:42,2025-12-07 08:29:40,IP Address,100,297,True,2025-12-07 08:29:40,R_8QujEsJ1UbwDXuj,anonymous,EN,Yes,Revisions,,,1,1,3,1,1,1,0,3,5,0,6,0,0,0,3,4,6,4,2,4,Performing laborious tasks demanded by reviewers while fully be aware that they are pointless.,2,"The ability to study only topics that i find interesting. ",Field research,Full professor,Social sciences,Man,51,Poland,
2025-12-07 08:30:03,2025-12-07 08:40:49,IP Address,100,645,True,2025-12-07 08:40:49,R_2rsgMcGrRCnNgGZ,anonymous,EN,Yes,Report writing,,,4,2,4,3,4,4,2,5,3,4,3,3,3,4,3,5,5,4,2,2,writing,1,balancing research (which I love) with teaching and university administration,Lab/online research,Associate professor,Social sciences,Man,48,Italy,
2025-12-07 12:11:36,2025-12-07 12:14:42,IP Address,100,186,True,2025-12-07 12:14:43,R_8dQs4aIi4ze5pRS,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,5,4,4,5,3,0,0,3,2,4,5,2,3,1,2,4,0,0,1,2,"I am too much behind with the preparations and others are waiting for me. But I have too many things to do in parallel. ",2,"The freedom to pursue ideas I find interesting ",Lab/online research,Postdoc,Social sciences,Man,38,Switzerland,
2025-12-07 12:57:35,2025-12-07 13:00:15,IP Address,100,159,True,2025-12-07 13:00:15,R_8jsUbMCwdd6e6Zz,anonymous,EN,Yes,Revisions,,,1,1,2,1,1,1,1,1,3,1,4,4,5,4,5,4,2,2,1,2,Being tired with the project and willing to have it already behind me,2,"Feeling I do something that matters beyond myself, but also accomplishments and financial security",Lab/online research,Assistant professor,Social sciences,Woman,31,Poland,
2025-12-07 11:52:58,2025-12-07 13:03:05,IP Address,100,4207,True,2025-12-07 13:03:06,R_20ue7yQKOB6nVex,anonymous,EN,Yes,Data analysis,,,5,3,5,4,5,4,4,2,6,4,5,6,5,5,5,5,5,5,5,6,"Not meeting the expected timeline I set out. ",-1,Nothing goes as planned and as fast,Lab/online research,Assistant professor,Social sciences,Woman,42,Turkey,
2025-12-07 13:03:54,2025-12-07 13:11:42,IP Address,100,468,True,2025-12-07 13:11:43,R_2nNKkVWQ1TlAiDr,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,2,3,2,2,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,I've felt disappointed because of some feedback from early questionnaire testing. The testers complained that the study purpose was unclear and they felt unmotivated to continue with the survey. I found it odd and disappointing because knowing the purpose is not something we want for the participants.,1,"I think the good outweighs the bad for now. There are always some problems arising, but all in all, it's quite meaningful work. I'm also earning more than I would have expected before getting into it. ",Lab/online research,PhD student,Social sciences,Woman,25,Poland,
2025-12-07 14:16:15,2025-12-07 14:23:16,IP Address,100,420,True,2025-12-07 14:23:16,R_35GyJsueJLsbkZs,anonymous,EN,Yes,Revisions,,,5,2,4,2,2,6,2,2,2,2,3,4,3,2,4,4,1,5,2,5,"Frustration because my coauthors and I disagreed with how to proceed with the revisions from reviewers. We felt one reviewer's comments were all over the place and difficult to address. ",2,"I think doing research is fun and exciting for the most part . I can get burnt out on writing, and i do not have the desire to be super prolific. I want to dabble in research.",Lab/online research,PhD student,Social sciences,Woman,31,United States of America,
2025-12-07 16:00:26,2025-12-07 16:20:45,IP Address,100,1219,True,2025-12-07 16:20:46,R_2xF8ThjGggwDCzE,anonymous,EN,Yes,Data collection,,,7,7,7,7,7,7,7,7,7,7,2,0,0,0,7,1,1,1,1,1,proposal rejections,2,the search for answers,Lab/online research,Non-academic researcher,Social sciences,Woman,41,Switzerland,
